iWine,Type,Vintage,Wine,Producer,MasterVarietal,Country,Region,Appellation
73356,Red,1985,Joseph Phelps Cabernet Sauvignon Backus Vineyard,Joseph Phelps,Cabernet Sauvignon,USA,California,Oakville
1576987,Red,2010,Ridge Cabernet Sauvignon Estate,Ridge,Cabernet Sauvignon,USA,California,Santa Cruz Mountains
5916,Red,1985,Ridge Cabernet Sauvignon Monte Bello,Ridge,Cabernet Sauvignon,USA,California,Santa Cruz Mountains
1690297,Red,2011,Ridge Carignane Triangle,Ridge,Carignan,USA,California,Sonoma County
4567952,Red,2021,Ridge Geyserville,Ridge,Zinfandel,USA,California,Alexander Valley
1051781,Red,2005,Ridge Grenache Lytton Estate,Ridge,Grenache,USA,California,Dry Creek Valley
3912419,Red,2019,Ridge Lytton Springs,Ridge,Zinfandel,USA,California,Dry Creek Valley
1588534,Red,2011,Ridge Lytton Springs,Ridge,Zinfandel,USA,California,Dry Creek Valley
1342826,Red,2010,Ridge Lytton Springs,Ridge,Zinfandel,USA,California,Dry Creek Valley
1165988,Red,2007,Ridge Petite Sirah Dynamite Hill York Creek Vineyards,Ridge,Petite Sirah,USA,California,Spring Mountain District
1511913,Red,2008,Ridge Syrah Lytton Estate,Ridge,Syrah,USA,California,Dry Creek Valley
1300650,Red,2009,Ridge Zinfandel Buchignani Ranch,Ridge,Zinfandel,USA,California,Sonoma County
1438022,Red,2010,Ridge Zinfandel Carmichael Ranch,Ridge,Zinfandel,USA,California,Sonoma County
1571257,Red,2011,Ridge Zinfandel East Bench,Ridge,Zinfandel,USA,California,Dry Creek Valley
1482420,Red,2010,Ridge Zinfandel Lytton Estate,Ridge,Zinfandel,USA,California,Dry Creek Valley
4053184,Red,2016,Rocca Family Vineyards Cabernet Sauvignon Collinetta Vineyard,Rocca Family Vineyards,Cabernet Sauvignon,USA,California,Coombsville
3173098,Red,2014,Rocca Family Vineyards Cabernet Sauvignon Collinetta Vineyard,Rocca Family Vineyards,Cabernet Sauvignon,USA,California,Coombsville
4694935,Red,2017,Santa Cruz Mountain Vineyard Cabernet Sauvignon Bates Ranch,Santa Cruz Mountain Vineyard,Cabernet Sauvignon,USA,California,Santa Cruz Mountains
4940271,Red,2018,Santa Cruz Mountain Vineyard Cabernet Sauvignon Luchessi Vineyard,Santa Cruz Mountain Vineyard,Cabernet Sauvignon,USA,California,Santa Cruz Mountains
5279320,Red,2017,Santa Cruz Mountain Vineyard Cabernet Sauvignon Staiger Vineyard,Santa Cruz Mountain Vineyard,Cabernet Sauvignon,USA,California,Santa Cruz Mountains
5279315,Red,2021,Santa Cruz Mountain Vineyard Durif,Santa Cruz Mountain Vineyard,Petite Sirah,USA,California,Central Coast
5213064,Red,2017,Santa Cruz Mountain Vineyard Pinot Noir Branciforte Creek,Santa Cruz Mountain Vineyard,Pinot Noir,USA,California,Santa Cruz Mountains
4815816,Red,2021,Santa Cruz Mountain Vineyard Zinfandel Zayante,Santa Cruz Mountain Vineyard,Zinfandel,USA,California,Santa Cruz Mountains
3914849,Red,2017,School House Mescolanza Zinfandel Blend,School House,Zinfandel,USA,California,Spring Mountain District
4657330,Red,2020,Shannon Ridge Vineyard Appellation Series Home Ranch Red Blend,Shannon Ridge Vineyard,Red Blend,USA,California,Lake County
2340901,White - Sweet/Dessert,2015,Ch�teau Suduiraut,Ch�teau Suduiraut,S�millon-Sauvignon Blanc Blend,France,Bordeaux,Sauternes
2075064,White - Sweet/Dessert,2014,Ch�teau Suduiraut,Ch�teau Suduiraut,S�millon-Sauvignon Blanc Blend,France,Bordeaux,Sauternes
5067839,Red,2022,The 8th Art Cabernet Sauvignon,The 8th Art,Cabernet Sauvignon,USA,California,Oakville
3226868,Red,2017,Philip Togni Cabernet Sauvignon,Philip Togni,Cabernet Sauvignon,USA,California,Spring Mountain District
4877155,Red,2022,Turley Cabernet Sauvignon Estate,Turley,Cabernet Sauvignon,USA,California,Napa Valley
4219970,Red - Sweet/Dessert,2014,Turley Zinfandel Delinquent,Turley,Zinfandel,USA,California,Paso Robles
4828575,Red,2021,Turnbull Cabernet Sauvignon Napa Valley,Turnbull,Cabernet Sauvignon,USA,California,Napa Valley
4165591,Red,2020,Vi�alba Malbec & Touriga Nacional Reserve,Vi�alba,Malbec,Argentina,Mendoza,Unknown
4488377,Red,2019,Waypoint Zinfandel Bell Road,Waypoint,Zinfandel,USA,California,Amador County
1570882,Red,2007,Wellington Cabernet Sauvignon Karren Vineyard,Wellington,Cabernet Sauvignon,USA,California,Sonoma Mountain
1563749,Red,2008,Wellington Zinfandel Estate Vineyard,Wellington,Zinfandel,USA,California,Sonoma Valley
1242165,Red,2007,Wellington Zinfandel Meeks Hilltop Ranch,Wellington,Zinfandel,USA,California,Sonoma Valley
